id,name
abc-news,ABC News
abc-news-au,ABC News (AU)
al-jazeera-english,Al Jazeera English
ars-technica,Ars Technica
bbc-news,BBC News
bbc-sport,BBC Sport
breitbart-news,Breitbart News
business-insider,Business Insider
business-insider-uk,Business Insider (UK)
cbc-news,CBC News
cbs-news,CBS News
cnn,CNN
engadget,Engadget
entertainment-weekly,Entertainment Weekly
espn,ESPN
financial-post,Financial Post
fortune,Fortune
fox-news,Fox News
fox-sports,Fox Sports
msnbc,MSNBC
nbc-news,NBC News
news24,News24
news-com-au,News.com.au
newsweek,Newsweek
new-york-magazine,New York Magazine
next-big-future,Next Big Future
politico,Politico
polygon,Polygon
reuters,Reuters
techcrunch,TechCrunch
techradar,TechRadar
the-irish-times,The Irish Times
the-jerusalem-post,The Jerusalem Post
the-next-web,The Next Web
the-times-of-india,The Times of India
the-verge,The Verge
the-washington-post,The Washington Post
time,Time
usa-today,USA Today
